First Name,Middle Name,Last Name,Maiden Name,Full Name at Birth,Alternative Name,Birthday,Birthplace,Height,Weight,Zodiac Sign,Sexuality,Religion,Ethnicity,Nationality,Occupation
Maya,Indra Jasmin,Cunningham-Reid,Cansino,Ryan Whitney Newman,"Justina Adorno, Justina","4th February, 1906","Buderim, Queensland, Australia",,127lbs (58 kg),,,,,Palestinian,Saxophone
Rob,Habiba,Yelchin,Haynes,Marianne Cuau,"Felicity  -  (nickname), Ms. Felicity Jones","7th August, 1947","Esher, Surrey, England, UK",,93lbs (42 kg),,,,,"Bosnian, Herzegovinian",Diving
Mari,Levé,Seyven Katircioglu,Donaghue,Shannon Elizabeth Fadal,"Henry Enrique Estrada, Erik Estrada","3rd October, 1897","Mogadishu, Banaadir, Trust Territory of Somaliland",,105lbs (48 kg),,,,,Cape Verdian,Scientist
Sharmiela,Imani,Mudarris,Creamer,Colin Wilcox,"Ingrid von Rosen, Ingrid Bergman, Ingrid Karlebo, Ingrid Karlebo von Rosen Bergman","7th December, 1910","Wiltshire, England, UK",,256lbs (116 kg),,,,,Polish,Poet
Lucho,Shepard,Paula,Demarchi,Stacy Lattisaw,Paula,"3rd April, 1904","Pasadena, Texas",,308lbs (140 kg),,,,,Somali,Naturalist
Ermias,Jeanne,Aschow,Kumar,Heather Rae Young,Helen Walker,"15th January, 1977","Mandaluyong City, Manila, Philippines",,178lbs (81 kg),,,,,Afghan,Business
Ioanna,Gábor,Puzio,Hobbs,Hertha Stern und Walther von Monbary,"Howard Reznick, Hanon Reznikov","5th May, 1979","San Diego, CA, USA",,134lbs (61 kg),,,,,Irish,Government
Poonam,Rowe,McKinnon,Rao,Doria Tillier,Ginger,"4th June, 1992","Salem, UT",,242lbs (110 kg),,,,,Spanish,Choreographer
Lewis Polk,Dee,Toxton,Small,William Clarence Eckstein,"Joseph McGinty Nichol, McG","20th June, 1886",Alexandria,,203lbs (92 kg),,,,,Guyanese,Crew (film/tv)
Fille Saint Merced,Hale,Klabin,Swank,Ricardo Emmanuel Brown,"Ted Kennedy, Teddy Kennedy","19th September, 1913","Tulare, California",,145lbs (66 kg),,,,,Croatian,Accountant
Chienna,Dominque,Gaskarth,Elliot,Brittany Anne Bertolotti,"Angela Anaïs Juana Antolina Rosa Edelmira Nin y Culmell, Anaïs Nin, Anaïs Nin Culmell","5th May, 1970","Giussano, Italy",,164lbs (74 kg),,,,,Belarusian,Personality
Shar,Vianne,Corvus,Chung,Getoar Selimi,Tami Marie Stauff,"31st March, 1990","Stuttgart, Baden-Württemberg, Germany",,157lbs (71 kg),,,,,South Korean,Chemist
Carvel,Rhiannon,Vertiz,Beck,Yvette Carmen Mimieux,"Cobie Smulders, Jacoba Francisca Maria Smulders","13th December, 1933","Worcester, Massachusetts USA",,215lbs (98 kg),,,,,Slovenian,Cycling
Tawanna,José,Everly,Styler,Brian Jeffrey Krause,"Guwop, Gucci Mane La Flare, Mr. Zone 6, Wizop","20th November, 1932","Alentejo, Portugal",,245lbs (111 kg),,,,,Peruvian,Opera singer
Kimrick,Irwin,Nyman,Vukadinovic,Elizabeth Jean Philipps,"Sydney Grace Ann Sierota, Echosmith, Sydney Sierota","28th September, 1981","Tarzana, California, USA",,311lbs (141 kg),,,,,Ecuadorean,Politician
Diletta,Taylor,Boisrond,Mutter,Nelly Estela Carreño González,"Catherine Ford, Catherine Tate, Catherine, Catherine Jane Ford","7th June, 1975","Istanbul,Turkey",,244lbs (111 kg),,,,,Romanian,Surfing
Daya,Ragsdale,Somerhalder,Forker,Marcelo Corazza,Paulina Wyka,"7th July, 1990","Torun, Poland",,86lbs (39 kg),,,,,Bangladeshi,Pilot
Mouni,Middleton,Haynes,March,Una McLean,"Lee Joo-yeon, Lee Jooyeon, Jooyeon, Joo-yeon Lee, Lee Joo Yeon, 이주연","4th May, 2001","New Glasgow, Nova Scotia, Canada",,176lbs (80 kg),,,,,Azerbaijani,Sculptor
Euan,Brenda,Loden,Valentine,Kiptyn Locke,"Holland Marie Roden, Holland Roden, Holland","3rd October, 1950","St Helens, Merseyside, England, UK",,243lbs (110 kg),,,,,Turks And Caicos Islander,NA
Helin,Spyros,De la Nuez,Lane,María Esmeralda Pimentel Murguía,"Chris Thompson, Christopher Thompson","16th July, 1947","Gujranwala, Punjab, Pakistan",,97lbs (44 kg),,,,,Georgian,Field Hockey
Armistead,Malagnac D'Argens De,Pérez,Ardant,Kathryn Deanna Sahasaylo,Garfield Sobers,"5th October, 1878","Helsby, Cheshire",,187lbs (85 kg),,,,,Scottish,Magician
Devonté,Jimenez Te,Cunha,Byles,Caitlin Shey Spears,"Lauren Donahue, Lauren Norvelle","9th April, 1971","Stratford-Upon-Avon, England",,196lbs (89 kg),,,,,Puerto Rican,Cinematographer
Big,Melanie,Rothchild,Lowe,Vincent Francois Damphousse,"Joanna Hines, Joanne LaPatrie, Jo Jo Laine","9th April, 1986","Carlisle, England, UK",,320lbs (145 kg),,,,,Colombian,Comic
Lily-Rose,Guadalupe,Woodgett,Chernova Blacker,Cayetana Elizabeth Hutcheson,"Kiki, Kirsten Caroline Dunst, Kirsten Dunst","8th November, 1987","Eskilstuna, Södermanlands län, Sweden",,163lbs (74 kg),,,,,Thai,Actor
Stacie,Kale,Gannaway,Cojuangco,Kenneth Arthur Wagg,Praveen Chandra,"15th December, 1982","Prague, Czechoslovakia [now Czech Republic]",,240lbs (109 kg),,,,,Australian,Snowboarding
Selene,Bautista,Veroni,Boothe,Annie Winifred Ellerman,"Chris Anthony John Martin, Chris Martin, Christopher Anthony John Martin","6th November, 1945","Addis Ababa, Ethiopia",,88lbs (40 kg),,,,,Mauritian,Pornstar
Keaton,Tompkins,Morena,Lynton,Juan Carlos Torrontegui,"Vinz, Vincent Cassel, Vincent Crochon","15th February, 1991","Virginia Beach, Virginia, USA",,201lbs (91 kg),,,,,Mozambican,Producer
Deesha,Aubrey,Spender,Blum,Brandi Alexis Reed,Caroline Bittencourt,"9th February, 1930","Staten Island, New York City, New York, USA",,92lbs (42 kg),,,,,Saudi Arabian,Building And Construction
Roey,Acosta,Spitzer,Tomei,Julianna Luisa Margulies,Наталья Рудная,"9th September, 1976","Tucson, Arizona, USA",,83lbs (38 kg),,,,,Italian,Songwriter
R.L.,Juan,Kaldau,Shevardnadze,Stéphanie Marie Elisabeth Grimaldi,"Layna Laurel, Layna, Julez Ventura, Shayne St. Lucia, Juelz, Juelz Ventura, Shayna Lefevre","8th November, 1935","Girard, Ohio, USA",,272lbs (123 kg),,,,,Ivorian,Socialite
Sale,Judson,Tarkenton,McSween,Caroline Louise Snodgress,"Rush, Uncle Rush","19th March, 1989","Greenville, South Carolina",,200lbs (91 kg),,,,,Chilean,Screenwriter
Lois (Jean),Stevens,Blum,McEwen,Andrew Waddington,"Dana Flynn, Didem Erol, Serah Henesey","15th April, 1978","Foggia, Italy",,104lbs (47 kg),,,,,Fijian,Skateboarding
Nigella,McElroy,Scaffa,Charlwood,Henry John Deutschendorf Jr.,Grazi,"19th July, 1941","Brentwood, England, UK",,123lbs (56 kg),,,,,,Tennis
Darko,Charles Gauntlett,Paul Martin,Al-Yassin,Diego Pombo,"Sir Ian Holm CBE, Ian Holm, Ian Holm Cuthbert","11th November, 1901","Craiova, Dolj, Romania",,108lbs (49 kg),,,,,,Country Musician
Olalla,Leonardo,Chiminazzo,Scicolone,Stacey Briana Bernstein,Melanie Hamrick,"10th September, 1886","San Mateo County, California, USA",,194lbs (88 kg),,,,,,Game Show Host
Graciele,Kristal,Tapai,Baez,Patricia Muratovic,Lee Levi,"16th June, 1988","Porterville, California",,253lbs (115 kg),,,,,,Publicist
Inbar,Ursula,Mead,Bonis,Julia Kelly,"The Cobrasnake, Mark 'The Cobrasnake' Hunter, Mark Hunter, The Cobra Snake, Mark 'The Cobra Snake' Hunter","11th April, 1985","Hilversum, Netherlands",,281lbs (127 kg),,,,,,Critic
Gergo,Blaire,Samper,Underwood,Doris Dowling,"Softly Adams, John 'Softly' Adrian","16th September, 1970","Barisal, Bangladesh",,342lbs (155 kg),,,,,,Sociologist
Marc Carlos,Gilberta,Fancher,Barton,Brooke Kerith Satchwell,"Kady McDermott, Kady, Kady Harriet McDermott","16th April, 1985","Taipei, Taiwan",,162lbs (73 kg),,,,,,Law Enforcement
Amelia,Danneel,Falcone,Avagyan,Élisabeth Malvina Chalier,"Danny Alfonso, Danny Alfonso Guilarte, Thatboiipapii, Danny Fabian Alfonso Guilarte","3rd July, 1949","Sete Lagoas, Brazil",,186lbs (84 kg),,,,,,Doctor
Loreto,Enrica,Metzelder,Vadala,Simmone Jade Mackinnon,Henry Kleinbach,"14th March, 1996","Palmdale, California, USA",,282lbs (128 kg),,,,,,Taekondo
Divorced,Mayol,Barrier,Knapp,Kristine Rachel Gumabao Florendo,T-Smoov,"16th February, 1980","Vernal, Utah, United States",,99lbs (45 kg),,,,,,Creator
Jacy,Ogden,Dikinciler,De Belen,Michael Clarke Duncan,Drew Arellano,"5th August, 1987","Cherry Point, North Carolina USA",,252lbs (114 kg),,,,,,Soundtrack
Beverley,Paula,Valli,Alves,Flavia Palmiero,"Kymberley, Kimbo or Rock Chick (in her band Blond)","21st March, 1893","Seattle, WA",,166lbs (75 kg),,,,,,Film Director
Fabricio,Braghini,Kleefeld,Luecke,Joseph Michael Poole,"Niky Anderson, Nicky Anderson, Nikky Anderson, Nikki Andersson, Niki Anderson, Nikki Anderson, Niki Andersson, Nikky Andersson, Nicki Anderson, Nikolett P., Nikoletta Prusinszky","16th April, 1954","Halifax, Yorkshire, England",,129lbs (59 kg),,,,,,Stunts
Victorio,Viljami,Król,Tallone,Tyler Lee Hoechlin,"Matteo Ceccarini, Vision, Deriva Collective","10th October, 1967","Hackensack, New Jersey, USA",,110lbs (50 kg),,,,,,Playwright
Irulan,Vladimirovich,Petcosky,Spruill,Nadine Leopold,"Sniff, Stephen McHattie Smith, Stephen McHattie, Steven McHattie, Steve McHattie","23rd January, 1995","Urbana, IL, USA",,216lbs (98 kg),,,,,,Guitarist
Raissa,Vilson,Eckhart,Barry,Violet Ethelred Krauth,"Betty Young, Elizabeth Louise ""Betty"" Queen Young, Betty Henderson","24th August, 1972","Rosario, Santa Fe",,115lbs (52 kg),,,,,,Fencing
T.E.,Somerville,Rosete,Barbeau,Álvaro Luis Bernat Dalton,Rosy,"8th December, 1930","Orange, California, United States",,276lbs (125 kg),,,,,,Rower
Badius,Xavier,Vette,Air,Justin Dior Combs,"Liam Gallagher, Our Kid","2nd January, 1987","North Hollywood, California, USA",,197lbs (89 kg),,,,,,Actress
Suchin,Mubarak,Kross,Spalding,Philip Nott Ober,"Prince of Pop, SirCliff Richard","25th December, 1978","Kiel, Germany",,199lbs (90 kg),,,,,,Curator
Qasim,Jailee,Erwin,Jane Elizabeth,Geraldine Schaer Bonnevie,"`Pavlova of the Ice`, Queen of the Ice","12th November, 1968","Las Palmas de Gran Canaria, Spain",,214lbs (97 kg),,,,,,Horseriding
Uffie,Anita Marianne,Bywater,Hodge,Quentin L. Richardson,"Queen Letizia, Letizia Ortiz, Letizia Ortiz Rocasolano, Queen Letizia of Spain, Princesa Letizia de Asturias","4th July, 1964","Albequerque, New Mexico",,265lbs (120 kg),,,,,,Poker
Rick,Hepler,Ansaldo,Macdowell,Igor Rickli Christóforo,"Dottie Danger, Belinda Jo Kurczeski, Babe, Belinda","15th January, 1902","Harlow, Essex, England",,190lbs (86 kg),,,,,,Agent
Yui,Pelletier De,Wiles,Wayne,Frances Laura Charteris,Bengü,"28th August, 1985","South Shields, Tyne and Wear, England, UK",,250lbs (113 kg),,,,,,Figure Skater
Franceska,D'Mon,Smotherman,Rhoda,Roberta Lynn Kupcinet,"Cheryl Nunes, Cheryl Moana Marie Sabato, Cheryl Moana Marie Nunes","23rd April, 1956","Balassagyarmat, Hungary",,136lbs (62 kg),,,,,,Entertainer
Ross,Alfonso,Roff,Piñeyro,Count Jean de Breteuil,"Buboy, RJ, Rain","25th April, 1918","Kassel, Hesse, West Germany",,158lbs (72 kg),,,,,,Student
Yetkin,Robert Andrew,Hilson,Mecham,Robin Douglas-Home,"Julie Ashton, Juli Astin, Julie Austin, Juli Austin","8th January, 1982","Stalowa Wola, Poland",,220lbs (100 kg),,,,,,Spouse
Camryn,Ariadna,De Jesus,Peiser,Carly Cristyne Slusser,Camille Japy,"8th March, 1988","Union City, New Jersey, United States",,221lbs (100 kg),,,,,,Sports Star
Jean-Baptiste,Parks,Sanvicente,FitzSimons,Luciana Miranda Fuster Guzmán,"Ivana Miličević, Ivana Marina, Ivana Milavich","4th July, 1925","Bakersfield, California",,132lbs (60 kg),,,,,,Beach Volleyball
Minhoi,Linden,Perri,Bushman,Joe Randolph Ackerley,Summer Taylor,"22nd November, 1940","Chapeltown, Leeds, England, UK",,298lbs (135 kg),,,,,,Pianist
Gonçalo,Hadley,Duritz,Dobson,Marquita Kay Ward,"Cara Jocelyn Delevingne, Cara Delevingne, Cara","18th April, 1962","Stoke-on-Trent, Staffordshire, England",,144lbs (65 kg),,,,,,Finance Professional
Draghixa,Finnegan,Mari,Billecard,Georg Wilhelm Pabst,"Crissy, Crissy Henderson, Christan Lee Henderson","1st January, 1969","Howth, County Dublin, Ireland",,179lbs (81 kg),,,,,,Trumpeter
Andrea Nicole,Abigail,Murs,Mezzogiorno,Sasvrai Farkasfalvi Tothfalusi Toth Endre Anral Mihaly,Camila Morais,"13th March, 1965","Pennsauken, New Jersey",,268lbs (122 kg),,,,,,Animation
Maurizio,Fiona,Levieva,Chriqui,Lord Alexander Gerald Rufus Isaacs,Christoph Metzelder,"14th March, 1958","Malton, North Riding of Yorkshire, England",,181lbs (82 kg),,,,,,Comedian
Sridevi,Columcille Gerard,Hanley,Vohra,Veridiana Alves de Lima,"Zoë Louise Ball, Zoë Ball","2nd December, 1956","Quito, Ecuador",,280lbs (127 kg),,,,,,Physicist
Jahira,dei Baroni,Rhoda,Devine,Nicole Marie Webster,"Sarah Bro, Sarah","14th October, 1940","Caslav, Czech Republic",,142lbs (64 kg),,,,,,Athlete
Bensu,Creamer,Gutowski,Lewis,Niek Schrijvershof,"Judith Kostner, Clarissa de Posa, Julia, July, Mina May, Judith Varadt, Christie, Judith Garlan, Judith Haas, Judita, Alexa, Barbara, Christina, Cinzia Rossi, Cinzia Rosireika, Erika, Judet, Judit, Judith Bator, Judith Bodor, Judith Connery, Judith Hass, Judith Keys, Judith Weller, Judiy Sun, Judy Garlan, Judy Garland, Judy Grosland, Vanda, Judy BIRTHDAY","30th January, 1922","Beas, Amritsar, Punjab, India",,119lbs (54 kg),,,,,,Anthropologist
Başar,Pérez,Gervasi,Lindvall,Kathleen “Kay” Mulheren Clark,Elliot Hersh Silverstein,"20th April, 1929","West Point, New York, USA",,152lbs (69 kg),,,,,,Philosopher
Marcela,Kartalian,Vuilloud,VanSanten,Eliza Ann Siep,Romain Duris,"19th July, 1951","Boston, Massachusetts USA",,175lbs (79 kg),,,,,,Video Jockey
Capt. Howard,Antonian,Stanaland,Raison,David Patrick O'Hara,Tintim,"18th January, 1966","Bailey, Colorado, USA",,173lbs (78 kg),,,,,,Triathlete
Nagehan,Emerson,Nece,Epstein,Marvin Adelbert Finch,Kays,"20th January, 1896","Kapuskasing, Ontario, Canada",,90lbs (41 kg),,,,,,Water Polo
Mirela,Anne-Marie,Dokoupil,Fitzgerald,Barbara Palvin,Adriano Leite Ribeiro,"25th September, 1875","Beirut, French Mandate of Syria and Lebanon [now Lebanon]",,304lbs (138 kg),,,,,,Clarinetist
Jocelyn,Elliot,Blat,Norén,Penelope Tree,Pat Blake,"7th September, 1985",Alessandria,,102lbs (46 kg),,,,,,Swimming
Heledd,Beck,Marlow,Guirado,Anna Bergman,"Tim Norman, James Timothy Norman","16th February, 1998","McDonald, PA, USA",,237lbs (108 kg),,,,,,Architect
Giannina,Lanza,Patsy Palmer,Araya,Nichole Marie Beattie,Rob,"13th September, 1944","Black Mountain, North Carolina, USA",,330lbs (150 kg),,,,,,Inventor
Jilly,Johan Hjalmar,Bautzer,Carl,Marc Webb,Shirley Wilson,"3rd September, 1989","Brigg, Lincolnshire, England, UK",,114lbs (52 kg),,,,,,Theater Director
Molly Ann,Ogilivie,Youcef,Costello,Regina D'Antigny,Mari,"5th June, 1883","Gelsenkirchen, West Germany",,156lbs (71 kg),,,,,,Horsetrainer
Dix,March,Wojewodzki,Cavallari,Marina Jane Hanbury,"Chen Kun, Aloys Chen, Kun Chen","18th October, 1951","Nashville, TN, USA",,1lbs (0 kg),,,,,,Radio Personality
Slater,Diggy,Taeger,Michibata,Charles Arthur Francis Cavendish,Lisalla Montenegro Wilson,"14th February, 1969","Slough, Buckinghamshire, England",,155lbs (70 kg),,,,,,Bodybuilder
Camila,Gaither,Maphis,Hewitt,Ashley Slack,"Árva László, László Árva","17th July, 1929","Dundalk, County Louth",,263lbs (119 kg),,,,,,Jockey
Martin,Valentine,Bradshaw,Everhart,Donna Jeanette D`Errico,"Nicholas Mark Mavroleon, Nicholas Mavroleon","3rd September, 1900","Paranaque City, Manila",,218lbs (99 kg),,,,,,Talk Show Host
Demi,Lane,Covington,Luna,Keira Christina Knightley,"The Prince of Darkness, The Great Ozz, The Blizzard of Oz, Ozzy Osbourne, Ozzy, Prince of Darkness, The Godfather of Metal, Madman","2nd July, 1941","Yekaterinburg, Russia",,213lbs (97 kg),,,,,,Rapper
Stanislas,Selig,Graniecki,Tripplehorn,Lindsay Gordon Anderson,"Jessica Elizabeth Sanchez, Jessica Sanchez","4th April, 1976","Stratford, New Jersey, USA",,193lbs (88 kg),,,,,,Journalist
Diether,Terfel,Kishida,Denagustin,Carol Annette Sydes,Newts,"12th September, 1979","Minas Gerais, Brazil",,174lbs (79 kg),,,,,,Softball
Meraud,Lance,Cross,Laine,Wendell Ellis Jr.,"Toni, Toni Braxton, Toni Michelle Braxton","22nd May, 1907","Nicollet, Minnesota, USA",,168lbs (76 kg),,,,,,Ski Jumping
Ayi,Hussain,Druzyaka,Harrison,Helen Walker,"Tim Burton, Timothy Walter Burton","23rd September, 1920","Dunedin, New Zealand",,8lbs (4 kg),,,,,,Model (Adult/Glamour)
Algenis,Debrett,Keaton,Higgins,Joanne LaPatrie,"Pace Barlow,Devinshire, Pace Barlow, Barbara Woods, Devonshire, Devon, Devin Shire, Devon Shire, Barbara Wood, Devon Shier, Devinshire","25th September, 1983","Banks, Alabama",,130lbs (59 kg),,,,,,Designer
Ayan,Cojuangco,Rugel,Zampino,Paul Michael Sanchez-Garcia London,"Brie Brandt, Brie Brandt-Howard, Brie Howard Darling, Brie Darling, Maria Lourdes Berry","22nd December, 1983","Greenwich, Conn.",,254lbs (115 kg),,,,,,Photographer
Kyra,Boothe,Capua,Bohny,Andrew Stephen Lock,"Juliette Taylor, Juilet Taylor","18th June, 1927","Subic Bay, Zambales, Philippines",,248lbs (112 kg),,,,,,Columnist
Jayme,Pampi,Huffman,Richman,Tami Marie Stauff,Rupe,"29th December, 1971",Cãlinesti,,217lbs (98 kg),,,,,,Memoirist
Harriet,Hartwell,VanSanten,Gosden,Harry Geithner Cuesta,"Lu Lu, Xiao Lu, Luhan","24th October, 1989","Glendale, California, USA",,101lbs (46 kg),,,,,,Barrister
Andrew James,Anjanette,Bazan,Osuna,Barry William Zito,"Monica, Monica Dogra, Monica Sharma Dogra, Shaa'ir","2nd March, 1985",Qatar,,302lbs (137 kg),,,,,,Motor Biking
Harmony,Lan,Fitzgerald,Shields,Elon Reeve Musk,Adolfo Angel,"11th September, 1971","Oakland, California USA",,135lbs (61 kg),,,,,,Economist
Nicolle,Ennis,Brugh,Williams,Mathew James Willis,"Catterfeld, Vivianne, Miss Yvonne","10th March, 1994","Vermont, VA, USA",,211lbs (96 kg),,,,,,Electronic Musician
Claude-Eric,Mackinlay,Colonna,Szabo,Monica Anne Esteva Wilson,"AA, DoubleA","19th November, 1962",Illinois USA,,300lbs (136 kg),,,,,,Religion
Maxene,Mano,Thiele,Koyama,Paulina Wyka,"Mark Anthony McDermott, Dylan McDermott","21st July, 1968","Waltham Cross, Hertfordshire, England, UK",,293lbs (133 kg),,,,,,Translator
Wil,Victory in Europe,Bohlen,Stuart,Linda Robinson,Anderson Lawlor,"17th May, 1966","Tunica, Mississippi, USA",,2lbs (1 kg),,,,,,Rugby Union
Kadamba,Gertrude,Pineau,Tawile,Khierstin Nichole,"Don, Don Cornelius, The World's Coolest Uncle","3rd March, 1963","Viareggio, Province of Lucca, Italy",,137lbs (62 kg),,,,,,Volleyball
Russell,Amondi,Atlas,Düvenci,Clare Jenness Howard,"Hil, Hils, Hills, Hilly, Duffy, Hilary Erhard Duff, Hilary Duff, Hilary E. Duff, Hillary Comrie, Hillary Koma","4th January, 1946","Baden-Baden, West Germany",,235lbs (107 kg),,,,,,Assistant Director
Arda,Lucia Virginia,Drujko,Villarroel,Georgi Andreev ILIEV,"Varenagh, Vaghinag, France's Frank Sinatra","23rd August, 1940","Barga, Tuscany, Italy",,167lbs (76 kg),,,,,,Musician
Neslisah,Lacy,Araya,Loeb,Edyta Zając,"Jasmin Walia, Jasmin","17th October, 1920","Örnsköldsvik, Västernorrlands län, Sweden",,283lbs (128 kg),,,,,,Dentist
Santanu,Ainsle,Sale,Ferri,Samuel Bode Miller,# 24,"19th September, 1976","Erba, Como, Lombardy, Italy",,149lbs (68 kg),,,,,,Casting Director
Tato,Haydee,Mulhern,McAllister,Praveen Chandra,"Елена Корикова, Еле́на Ю́рьевна Ко́рикова, Elena Korikova, Elena Yuryevna Korikova, Yelena Yuryevna Korikova","24th June, 1981","Vannes, Morbihan, France",,182lbs (83 kg),,,,,,
Jason,Giovanni,Braschi,Guilfoyle,Yamila Diaz Rahi,"Duke, MPA Duke, YSL Duke","10th August, 1976","Cap-Vert, Africa",,188lbs (85 kg),,,,,,
Shikiri,Balthazar,Altioklar,Eisenberg,Caroline Bittencourt,Sloki,"24th September, 1985","Cheshire, England",,223lbs (101 kg),,,,,,
MC,Barton,Cantrell,Winfield,Derek Leendert Boogaard,"Marco Jimenez Te Woerd, Marco Jimenez","16th May, 1985","Onamia, MN",,4lbs (2 kg),,,,,,
Bette,Carlene,Sawa,Oppenheim,Kean Edward Uson Cipriano,"Catherine Gutierrez, Alicia Mayer, Alicia Bonifacio","18th July, 1983","DeSoto, Texas, United States",,289lbs (131 kg),,,,,,
Zain,Angeles,Hari,Keith,Jennifer Dinshaw Kotwal,"Kucsi, Kucsera Gábor, Gábor Kucsera","29th July, 1963","Camden, Arkansas, USA",,146lbs (66 kg),,,,,,
Willow,Elaine,Fantasy,Dolenz,Melanie Hamrick,"Adrienne Bailon, Adrienne Eliza Bailon, Adrienne Houghton, Adrienne Eliza Houghton, Adrienne Bailon-Houghton, Adrienne Eliza Bailon Houghton","28th June, 1974",Ukraine,,209lbs (95 kg),,,,,,
Boris,Ayanna,Rican,Wagner,Tessa Lynn Thompson,"Natalie Martinez, Natalie Emilia-Romagna Martinez","25th June, 1924","Southampton, New York",,305lbs (138 kg),,,,,,
Bill,Alves,Blaisdell,Christensen,Vito Maria Schnabel,Jasmine Daniels,"13th October, 1915","İzmir, Turkey",,225lbs (102 kg),,,,,,
Jocelyne,Derek,Sartiano,Ross,Stephanie Lynne Niznik,Robert B. Hays,"28th May, 1991",Rhode Island,,,,,,,,
Lillian,Eretha Dreena,Thalassitis,Medina,Diana Claire Millay,Tomasz Pagowski,"24th May, 1982","Rochester, NY",,,,,,,,
Anitra,Pierre White,Westwick,Grund,Maisie Louise Collender Smith,Nigella,"29th May, 1951","Justiniano Posse, Córdoba, Argentina",,,,,,,,
L. Londell,Ruby,Branco,Goldsmith,Sebastián Rozental Igualt,Sophie Habboo,"28th January, 1961","Tampico, Tamaulipas, Mexico",,,,,,,,
Rudolf,Roque,Varitek,Morgan,Élie Pierre Barouh,"Molnár Balázs, Balázs Molnár","2nd June, 1994","Thornhill, ON, Canada",,,,,,,,
Empress,Barry,Ishihara,Reed,Dax Griffin,Burcu Kiratli,"20th November, 1985","Bakersfield, California, USA",,,,,,,,
Kairi,Frances Marie,Schofield,Pursey,Kimberly Ruth Hidalgo,Steven Hirsch,"16th March, 1953","Tunbridge Wells, Kent, England",,,,,,,,
Yanet,Pierre,Wall,Avery,Anna Sergeyevna Vyalitsyna,"Bambola Ramona, Ramona Cheorleu, Ramona Chorleau, Ramona Chorleu, Ramona the Doll","31st May, 1976","Fontana Liri, Frosinone, Italy",,,,,,,,
Leander,Annlynn,Grimaldi,Chittenden,Szögeczki Ágnes,"Mack, Mackenzie Lyn Rosman, Mackenzie Rosman","4th August, 1889","Goldau, Schwyz, Switzerland",,,,,,,,
Muammar,Maya,Theriot,Goss,Daren Maxwell Kagasoff,"Palki, Palak, Palak Purswani","14th February, 1982","Buda, Budapest, Hungary",,,,,,,,
